Time (sec.), Cycles, "value_state"
0.000000000, 0, -40036991891230687000.000000000
0.001132140, 113214, -0.747174978
0.012176430, 1217643, -0.747156918
0.022176340, 2217634, -0.747122109
0.032176390, 3217639, -0.747071743
0.042176740, 4217674, -0.747006893
0.052176410, 5217641, -0.746928513
0.062175980, 6217598, -0.746837556
0.072172950, 7217295, -0.746734738
0.082168970, 8216897, -0.746620834
0.092171430, 9217143, -0.746496499
0.102172370, 10217237, -0.746362329
0.112172740, 11217274, -0.746218860
0.122170620, 12217062, -0.746066511
0.132170700, 13217070, -0.745905757
0.142172580, 14217258, -0.745737016
0.152171870, 15217187, -0.745560646
0.162172160, 16217216, -0.745376885
0.172171670, 17217167, -0.745186090
0.182171620, 18217162, -0.744988501
0.192171980, 19217198, -0.744784355
0.202172720, 20217272, -0.744573832
0.212161300, 21216130, -0.744357169
0.222161030, 22216103, -0.744134486
0.232161190, 23216119, -0.743905962
0.242162960, 24216296, -0.743671715
0.252162810, 25216281, -0.743431866
0.262162990, 26216299, -0.743186533
0.272161770, 27216177, -0.742935777
0.282161920, 28216192, -0.742679715
0.292160990, 29216099, -0.742418349
0.302166340, 30216634, -0.742151797
0.312167780, 31216778, -0.741880119
0.322167590, 32216759, -0.741603374
0.332166570, 33216657, -0.741321564
0.342167260, 34216726, -0.741034746
0.352168930, 35216893, -0.740742922
0.362166680, 36216668, -0.740446150
0.372167590, 37216759, -0.740144432
0.382167300, 38216730, -0.739837766
0.392166540, 39216654, -0.739526212
0.402168390, 40216839, -0.739209712
0.412165800, 41216580, -0.738888323
0.422166310, 42216631, -0.738562047
0.432167850, 43216785, -0.738230824
0.442159500, 44215950, -0.737894714
0.452161540, 45216154, -0.737553656
0.462161670, 46216167, -0.737207651
0.472161170, 47216117, -0.736856699
0.482160190, 48216019, -0.736500800
0.492160210, 49216021, -0.736139894
0.502161690, 50216169, -0.735773981
0.512163380, 51216338, -0.735403061
0.522162660, 52216266, -0.735027134
0.532170850, 53217085, -0.734646142
0.542171710, 54217171, -0.734260082
0.552171620, 55217162, -0.733868957
0.562170680, 56217068, -0.733472705
0.572170300, 57217030, -0.733071327
0.582161420, 58216142, -0.732664764
0.592159880, 59215988, -0.732253015
0.602160780, 60216078, -0.731836021
0.612161500, 61216150, -0.731413782
0.622159920, 62215992, -0.730986297
0.632161710, 63216171, -0.730553508
0.642161420, 64216142, -0.730115414
0.652161790, 65216179, -0.729671955
0.662162090, 66216209, -0.729223073
0.672161680, 67216168, -0.728768826
0.682166970, 68216697, -0.728309095
0.692166570, 69216657, -0.727843881
0.702167700, 70216770, -0.727373183
0.712167120, 71216712, -0.726896942
0.722167060, 72216706, -0.726415157
0.732167260, 73216726, -0.725927770
0.742166240, 74216624, -0.725434780
0.752165720, 75216572, -0.724936128
0.762167900, 76216790, -0.724431813
0.772166920, 77216692, -0.723921776
0.782167070, 78216707, -0.723405957
0.792167120, 79216712, -0.722884357
0.802166830, 80216683, -0.722356975
0.812161590, 81216159, -0.721823752
0.822161440, 82216144, -0.721284628
0.832161870, 83216187, -0.720739603
0.842162440, 84216244, -0.720188618
0.852161080, 85216108, -0.719631672
0.862161260, 86216126, -0.719068766
0.872162870, 87216287, -0.718499780
0.882161150, 88216115, -0.717924774
0.892161680, 89216168, -0.717343628
0.902161700, 90216170, -0.716756403
0.912169280, 91216928, -0.716162980
0.922169650, 92216965, -0.715563357
0.932173270, 93217327, -0.714957535
0.942171370, 94217137, -0.714345455
0.952169890, 95216989, -0.713727117
0.962159930, 96215993, -0.713102460
0.972160250, 97216025, -0.712471426
0.982161180, 98216118, -0.711834013
0.992160980, 99216098, -0.711190164
1.002162190, 100216219, -0.710539877
1.012162390, 101216239, -0.709883094
1.022161020, 102216102, -0.709219813
1.032161550, 103216155, -0.708549976
1.042161540, 104216154, -0.707873583
1.052163180, 105216318, -0.707190573
1.062168300, 106216830, -0.706500947
1.072167230, 107216723, -0.705804646
1.082167300, 108216730, -0.705101609
1.092166900, 109216690, -0.704391837
1.102167490, 110216749, -0.703675330
1.112165770, 111216577, -0.702952027
